step,avg_reward
500,0.102
1000,0.096
1500,0.10866666666666666
2000,0.116
2500,0.122
3000,0.122
3500,0.126
4000,0.129
4500,0.12866666666666668
5000,0.1298
5500,0.12872727272727272
6000,0.13033333333333333
6500,0.13123076923076923
7000,0.13414285714285715
7500,0.13413333333333333
8000,0.13425
8500,0.13388235294117648
9000,0.13355555555555557
9500,0.13347368421052633
10000,0.1344
10500,0.134
11000,0.13272727272727272
11500,0.13269565217391305
12000,0.13341666666666666
12500,0.134
13000,0.13492307692307692
13500,0.1348888888888889
14000,0.13514285714285715
14500,0.1357241379310345
15000,0.1354
15500,0.13638709677419356
16000,0.13625
16500,0.13612121212121212
17000,0.13652941176470587
17500,0.13662857142857143
18000,0.13672222222222222
18500,0.13659459459459458
19000,0.1364736842105263
19500,0.13656410256410256
20000,0.13685
20500,0.13746341463414635
21000,0.1382857142857143
21500,0.13897674418604652
22000,0.13895454545454544
22500,0.1391111111111111
23000,0.13934782608695653
23500,0.1396595744680851
24000,0.14016666666666666
